Technology,Version,CVE Count,Max CVSS Score,Latest CVE Date
lxd,5.21.2,1,0.0,2024-12-06T00:15Z
lxd,5.21.1,1,0.0,2024-12-06T00:15Z
lxd,*,1,9.8,2021-09-03T02:15Z
cri,3.5,3,9.8,2023-08-21T01:15Z
cri,3.18,1,3.7,2023-09-30T15:15Z
cri,1.24.0,1,7.5,2022-06-07T18:15Z
cri,1.25.0,1,7.1,2022-09-19T20:15Z
cri,9.4.019,3,9.8,2024-09-25T01:15Z
cri,1.0.2,2,7.5,2023-12-19T15:15Z
cri,3.2,8,9.8,2023-11-06T20:15Z
cri,1.2,3,6.1,2023-07-24T03:15Z
cri,3.01.01,1,9.8,2022-11-15T21:15Z
cri,15,1,7.8,2022-04-27T14:15Z
cri,4.1.0.99,1,9.8,2021-08-12T21:15Z
cri,3.01.00,2,7.5,2021-02-10T22:15Z
cri,1.1.1,1,7.5,2023-12-19T15:15Z
cri,1.0.1.30,1,7.5,2023-12-19T15:15Z
cri,*,262,10.0,2025-02-18T05:15Z
cri,1.15,2,6.1,2023-07-24T01:15Z
cri,4.0,2,9.8,2023-05-08T14:15Z
cri,cz8.2,1,5.9,2020-12-08T16:15Z
cri,9.52.1,1,9.8,2024-02-04T18:16Z
cri,2.9.9,1,7.8,2024-08-21T17:15Z
cri,17.1.0,1,5.3,2022-09-28T17:15Z
cri,r1,2,7.8,2022-10-19T22:15Z
cri,2.2.0,20,9.8,2021-06-10T23:15Z
cri,8.0.8.3.0,21,9.8,2022-05-19T15:15Z
cri,0.1.0,39,9.8,2022-11-07T15:15Z
cri,2.3.16,1,7.8,2023-01-26T18:59Z
cri,1.38.02,1,9.8,2022-01-24T01:15Z
cri,9.54.0,1,9.9,2022-02-16T19:15Z
cri,4.2.7.7,4,9.8,2021-12-09T16:15Z
cri,2.3.0,4,9.8,2023-08-11T14:15Z
cri,2.3,5,9.8,2023-07-07T13:15Z
cri,2.4.0,8,8.8,2022-07-13T21:15Z
cri,1.5,1,6.1,2023-07-24T00:15Z
cri,3.3,1,9.8,2023-08-16T15:15Z
cri,8.1.7544,1,7.8,2023-10-10T16:15Z
cri,1.2.1,4,7.5,2022-07-26T13:15Z
cri,1.38.01,1,9.8,2022-01-24T01:15Z
cri,1.5.1,1,5.5,2021-06-14T23:15Z
cri,3.0,13,9.8,2023-12-07T07:15Z
cri,2.4,2,6.1,2023-07-07T15:15Z
cri,9.53.3,1,9.9,2022-02-16T19:15Z
cri,1.5.9,1,9.1,2022-01-05T19:15Z
cri,1.8,16,6.1,2023-07-19T05:15Z
cri,2.2.1,1,7.5,2022-05-23T20:16Z
cri,3.1,6,9.8,2023-08-28T13:15Z
cri,2.7,1,6.1,2023-07-07T15:15Z
cri,1.6,4,9.8,2023-07-25T22:15Z
cri,1.39.00,1,9.8,2022-01-24T01:15Z
cri,1.2.14,1,6.1,2020-10-16T17:15Z
cri,1.29.4,1,0.0,2024-06-12T09:15Z
cri,2.2,1,6.1,2023-06-30T07:15Z
cri,1.4,1,9.8,2020-04-15T15:15Z
cri,9.25,1,5.5,2020-09-03T18:15Z
cri,2.1,1,6.1,2023-06-30T07:15Z
cri,9.50,12,9.9,2023-08-22T19:16Z
cri,1.38.04,1,9.8,2022-01-24T01:15Z
cri,cz8.3,2,7.4,2020-12-08T16:15Z
cri,cz8.4,2,7.4,2020-12-08T16:15Z
cri,1.83.20,1,7.8,2021-05-10T13:15Z
cri,1.28.6,1,0.0,2024-06-12T09:15Z
cri,1.1,2,9.8,2023-07-23T23:15Z
cri,9.55.0,1,5.5,2022-06-16T18:15Z
cri,1.5.0-beta.0,1,9.1,2022-01-05T19:15Z
cri,5.8.0,1,9.8,2020-06-22T20:15Z
cri,1.0,41,9.8,2025-01-19T04:15Z
